Set	Num	Name	Rarity	Type	House	Traits	Æ	Power	Armor	Abilities	Flavor	Artist	Image	Complete	In Decks
CotA	001	Anger	C	Action	Brobnar		1			Play: Ready and fight with a friendly creature. (That creature may be from any house.)	"Don't make them angry you say? Heh. The Brobnar are born angry." -- Old Bruno	Melvin Chan	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	32
CotA	002	Barehanded	R	Action	Brobnar		1			Play: Put each artifact on top of its owner's deck.		Michele Giorgi	https://cdn.discordapp.com/attachments/475148937754312719/478655474061803541/CameraZOOM-20180813160207057.jpg	0	2
CotA	003	Blood Money	U	Action	Brobnar		0			Play: Place 2[Æ] from the common supply on an enemy creature.	"You!  Æmber lover.  You're next."	Gong Studios	https://cdn.discordapp.com/attachments/475148937754312719/477165525097512961/image.jpg	0	8
CotA	004	Brothers in Battle	R	Action	Brobnar		1			Play: Choose a creature. For the remainder of the turn, each friendly creature of that house can fight.		Rodrigo Camilo	https://cdn.discordapp.com/attachments/475148937754312719/478655488750387230/CameraZOOM-20180813160156436.jpg	0	3
CotA	005	Burn the Stockpile	U	Action	Brobnar		0			Play: If your opponent has 7[Æ] or more, they lose 4[Æ].	"If you can't protect it, you don't deserve it." -- Bigum Avalanche	BalanceSheet	https://cdn.discordapp.com/attachments/475148937754312719/478655524448239627/CameraZOOM-20180813160144719.jpg	0	12
CotA	006	Champion's Challenge	R	Action	Brobnar		0			Play: Destroy each enemy creature except the most powerful enemy creature. Destroy each friendly creature except the most powerful friendly creature. Ready and fight with your remaining creature.		Matthew Mizak	https://cdn.discordapp.com/attachments/475148937754312719/482741432138989569/40051746_10216942466624521_943245749586493440_n.jpg	0	2
CotA	007	Coward's End	C	Action	Brobnar		0			Play: Destroy each undamaged creature.  Gain 3 chains.		Timur Shevtsov	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	30
CotA	008	Follow the Leader	U	Action	Brobnar		0			Play: For the remainder of the turn, each friendly creature may fight.		Bogdan Tauciuc	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	9
CotA	009	Lava Ball	R	Action	Brobnar		0			Play: Deal 4[D] to a creature with 2[D] splash.	"Here...Catch!"	Quentin de Warren	https://cdn.discordapp.com/attachments/475148937754312719/477165523948273674/image.jpg	0	3
CotA	010	Loot the Bodies	C	Action	Brobnar		0			Play: For the remainder of the turn, gain 1[Æ] each time an enemy creature is destroyed.	"Loot the Bodies! Hit the Floor! Loot the Bodies! Hit the Floor!" -- Brobnar War Chant	Grigory Serov	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	34
CotA	011	Take that, Smartypants	R	Action	Brobnar		1			Play: Steal 2[Æ] if your opponent has 3 or more Logos cards in play.	"Them bots don't wear pants.  I carry spares."	Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/489498009810501632/20180912_200409.jpg	0	1
CotA	012	Punch	C	Action	Brobnar		1			Play: Deal 3[D] to a creature.	Three for flinching.	Ivan Tao	https://drive.google.com/file/d/1VYxN8tYef5EKT_6IAzHYyYd5RZOcKDNl/view?usp=drivesdk	0	22
CotA	013	Relentless Assault	U	Action	Brobnar		0			Play: Ready and fight with up to 3 different friendly creatures, one at a time		Jordan Kerbow	https://cdn.discordapp.com/attachments/475148937754312719/488846922057121792/image0.jpg	0	12
CotA	014	Smith	U	Action	Brobnar		1			Play: Gain 2[Æ] if you control more creatures than your opponent.		Gabriel Rubio	https://cdn.discordapp.com/attachments/475148937754312719/482675109040095253/5.jpg	0	7
CotA	015	Sound the Horns	U	Action	Brobnar		1			Play: Discard cards from the top of your deck until you either discard a Brobnar creature or run out of cards. If you discarded a Brobnar creature this way, put it into your hand.		Albert Bruun	https://cdn.discordapp.com/attachments/484154914038087680/486950726606520330/image0.jpg	0	8
CotA	016	Tremor	C	Action	Brobnar		0			Play: Stun a creature and each of its neighbors.		Oscar Romer	https://drive.google.com/file/d/1VYxN8tYef5EKT_6IAzHYyYd5RZOcKDNl/view?usp=drivesdk	0	22
CotA	017	Unguarded Camp	U	Action	Brobnar		1			Play: For each creature you have in excess of your opponent, a friendly creature captures 1[Æ].  Each creature cannot capture more than 1[Æ] this way.		Jon Bosco	https://cdn.discordapp.com/attachments/484154914038087680/486950623670042624/image0.jpg	0	13
CotA	018	Warsong	C	Action	Brobnar		0			Play: For the remainder of the turn, gain 1[Æ] each time a friendly creature fights.		Monztre	https://www.facebook.com/photo.php?fbid=1651197051658150&set=oa.505644606563646&type=3&theater	0	38
CotA	019	Autocannon	R	Artifact	Brobnar	Weapon	1			Deal 1[D] to each creature after it enters play.		Moh Mükhtar	https://cdn.discordapp.com/attachments/475148937754312719/482181505087700992/IMG_20180823_093624.jpg	0	4
CotA	020	Banner of Battle	R	Artifact	Brobnar	Item	0			Each friendly creature gets +1 power.		Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/490021908180500490/image0.jpg	0	0
CotA	021	Cannon	U	Artifact	Brobnar	Weapon	0			Action: Deal 2[D] to a creature.		Konstantin Turovec	http://aembertree.com/cards/core-021.jpg	0	10
CotA	022	Gauntlet of Command	C	Artifact	Brobnar	Item	0			Action: Ready and Fight with a friendly creature.	"I said 'take me to your leader' and got a fist to the face." -- Captain Val Jericho	Eric Kenji Aoyagi	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	20
CotA	023	Iron Obelisk	R	Artifact	Brobnar	Location	0			Your opponent's keys cost +1[Æ] for each friendly damaged Brobnar creature.		Andrew Bosley	https://drive.google.com/file/d/1VYxN8tYef5EKT_6IAzHYyYd5RZOcKDNl/view?usp=drivesdk	0	5
CotA	024	Mighty Javelin	U	Artifact	Brobnar	Weapon	1			Omni: Sacrifice Mighty Javelin. Deal 4[D] to a creature.		Limetown Studios	https://cdn.discordapp.com/attachments/475148937754312719/478655379652476928/CameraZOOM-20180813155740813.jpg	0	12
CotA	025	Pile of Skulls	R	Artifact	Brobnar	Location	0			Each time an enemy creature is destroyed during your turn, a friendly creature captures 1[Æ].		Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/483000611747659786/image0.jpg	0	6
CotA	026	Screechbomb	U	Artifact	Brobnar	Weapon	0			Omni: Sacrifice Screechbomb. Your opponent loses 2[Æ].	"I think that thing made me deaf!" "What?  I can't hear you!  I think that thing made me deaf!"	Albert Bruun	https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/41395076_10212574011652373_7273110430933843968_n.jpg?_nc_cat=0&oh=7f2833eb46188a6566cecba79e092484&oe=5C20212E	0	10
CotA	027	The Warchest	U	Artifact	Brobnar	Item	0			Action: Gain 1[Æ] for each enemy creature that was destroyed in a fight this turn.	It doesn't matter what the treasure is, only how it was won.	Caravan Studio	https://www.facebook.com/photo.php?fbid=1651253274985861&set=oa.505644606563646&type=3&theater	0	14
CotA	028	Bilgum Avalanche	R	Creature	Brobnar	Giant	0	5	~	After you forge a key, deal 2[D] to each enemy creature.	"Some call her 'warleader.'  Some call her 'demon.'  I just call her 'avalanche.'" -- Dodger	Konstantin Turovec	https://www.facebook.com/photo.php?fbid=10216821061337645&set=p.10216821061337645&type=3&theater&ifg=1	0	4
CotA	029	Valdr	C	Creature	Brobnar	Giant	0	6	~	Valdr deals +2[D] while attacking an enemy creature on the flank.  (The flank is either end of a player's battleline.)	"Gather that Æmber!  And you're welcome."	Caio Monteiro	https://www.facebook.com/photo.php?fbid=1651196611658194&set=oa.505644606563646&type=3&theater	0	38
CotA	030	Bumpsy	C	Creature	Brobnar	Giant	0	5	~	Play: Your opponent loses 1[Æ]	Whatever he doesn't like, he breaks.  He doesn't like anything.	Grigory Serov	https://pbs.twimg.com/media/Dj9nlW0X4AAViZZ.jpg	0	38
CotA	031	Earthshaker	U	Creature	Brobnar	Giant	0	7	~	Play: Destroy each creature with power 3 or lower.	"Did you feel that?"	Monztre	https://cdn.discordapp.com/attachments/475148937754312719/482231722520477707/IMG_20180823_122622.jpg	0	11
CotA	032	Firespitter	C	Creature	Brobnar	Giant	0	5	1	Before Fight: Deal 1[D] to each enemy creature.	Guess how he got that name.	Nicola Saviori	https://www.facebook.com/photo.php?fbid=1651253018319220&set=oa.505644606563646&type=3&theater	0	30
CotA	033	Ganger Chieftain	C	Creature	Brobnar	Giant	0	5	~	Play: You may ready and fight with a neighboring creature. (That creature may be from any house.)	It takes two to fight, but more is better.	Forrest Imel	https://www.facebook.com/photo.php?fbid=1651196918324830&set=oa.505644606563646&type=3&theater	0	27
CotA	034	Grenade Snib	U	Creature	Brobnar	Goblin	0	2	~	Destroyed: You opponent loses 2[Æ].		Taylor Ingvarsson	https://cdn.discordapp.com/attachments/475148937754312719/478655568605872129/CameraZOOM-20180813155813482.jpg	0	9
CotA	035	Headhunter	C	Creature	Brobnar	Giant	0	5	~	Fight: Gain 1[Æ].	"I mean, I think it's a head..."	Nicola Saviori	https://www.facebook.com/photo.php?fbid=1651196901658165&set=oa.505644606563646&type=3&theater	0	18
CotA	036	Hebe the Huge	U	Creature	Brobnar	Giant * Knight	0	6	~	Play: Deal 2[D] to each other undamaged creature.	He's much bigger in person.	Eric Kenji Aoyagi	https://drive.google.com/file/d/1HxaRxnhwTdL3GUbCb8BaPDEANvwqzaTe/view?usp=drivesdk	0	9
CotA	037	Kelifi Dragon	R	Creature	Brobnar	Dragon	0	12	~	Kelifi Dragon cannot be played unless you have 7[Æ] or more. Fight/Reap:  Gain 1[Æ].  Deal 5[D] to a creature.		Caio Monteiro	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	3
CotA	038	King of the Crag	R	Creature	Brobnar	Giant	0	7	~	Each enemy Brobnar creature gets -2 power.	Overthrowing the king is an uphill battle.	Melvin Chan	https://cdn.discordapp.com/attachments/475148937754312719/477566512832708640/King_of_the_Crag.png	0	5
CotA	039	Krump	C	Creature	Brobnar	Giant	0	6	~	After an enemy creature is destroyed fighting Krump, its controller loses 1[Æ]		Brolkin	https://drive.google.com/file/d/1HxaRxnhwTdL3GUbCb8BaPDEANvwqzaTe/view?usp=drivesdk	0	25
CotA	040	Lomir Flamefist	U	Creature	Brobnar	Giant	0	5	~	Play: If your opponent has 7[Æ] or more, they lose 2[Æ].	"I thought his name would turn out to be... metaphorical." - Quixo the "Adventurer"	David Kegg	https://cdn.discordapp.com/attachments/475148937754312719/483059255411474467/IMG_20180825_163628492_HDR.jpg	0	9
CotA	041	Looter Goblin	R	Creature	Brobnar	Goblin	0	2	~	Elusive.  (The first time this creature is attacked each turn, no damage is dealt.) Reap: Fir the remainder of the turn, gain 1[Æ] each time an enemy creature is destroyed.		Rodrigo Camilo	https://cdn.discordapp.com/attachments/475148937754312719/477608280957517839/IMG_20180810_184435.jpg	0	5
CotA	042	Mugwump	R	Creature	Brobnar	Giant	0	6	~	After an enemy creature is destroyed fighting Mugwump, fully heal Mugwump and give it a +1 power counter.		Nicholas Gregory	https://cdn.discordapp.com/attachments/475148937754312719/479483002053853184/DSC_0227.jpg	0	2
CotA	043	Pingle Who Annoys	R	Creature	Brobnar	Goblin	0	2	~	Elusive.  (The first time this creature is attacked each turn, no damage is dealt.) Deal 1[D] to each enemy creature after it enters play.		Rodrigo Camilo	https://cdn.discordapp.com/attachments/475148937754312719/477607390079090688/IMG_20180810_175526.jpg	0	2
CotA	044	Rock-Hurling Giant	R	Creature	Brobnar	Giant	0	6	~	During your turn, each time you discard a Brobnar card from your hand, you may deal 4[D]   a creature.		Caio Monteiro	https://www.facebook.com/photo.php?fbid=310155609556996&set=pcb.512245889236851&type=3&theater&ifg=1	0	4
CotA	045	Rogue Ogre	R	Creature	Brobnar	Giant * Mutant	0	6	~	At the end of your turn, if you played exactly one card this turn, Rogue Ogre heals 2 damage and captures 1[Æ].	"I like to think of it as a Roguere." -- Dodger	Caio Monteiro	https://cdn.discordapp.com/attachments/475148937754312719/488067030294069248/image0.jpg	0	1
CotA	046	Smaaash	C	Creature	Brobnar	Giant	0	5	~	Play: Stun a creature.	"I'm not sure he knows any other words."	Bogdan Tauciuc	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	34
CotA	047	Tireless Crocag	R	Creature	Brobnar	Giant	0	7	~	Tireless Crocag cannot reap. You may use Tireless Crocag as if it belonged to the active house. If your opponent has no creatures in play, Destroy Tireless Crocag.		Gabriel Rubio	https://cdn.discordapp.com/attachments/475148937754312719/482741432138989569/40051746_10216942466624521_943245749586493440_n.jpg	0	3
CotA	048	Troll	C	Creature	Brobnar	Giant	0	8	~	Reap: Troll heals 3 damage.	Don't feed it, it'll go away.	Timur Shevtsov	https://www.facebook.com/photo.php?fbid=1651253021652553&set=oa.505644606563646&type=3&theater	0	32
CotA	049	Wardrummer	C	Creature	Brobnar	Goblin	0	3	~	Play: Return each other friendly Brobnar creature to your hand.		Nicola Saviori	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	25
CotA	050	Blood of Titans	U	Upgrade	Brobnar		1			This creature gets +5 power.	"Blood of Giants? Why stop there?" -- Pingle Who Annoys	Ivan Tao	https://cdn.discordapp.com/attachments/475148937754312719/478655550725292032/CameraZOOM-20180813160136047.jpg	0	18
CotA	051	Phoenix Heart	R	Upgrade	Brobnar		0			This creature gains, "Destroyed: Return this creature to it's owner's hand and deal 3[D] to each creature in play.		Caravan Studio	https://www.facebook.com/photo.php?fbid=310155609556996&set=pcb.512245889236851&type=3&theater&ifg=1	0	2
CotA	052	Yo Mama Mastery	R	Upgrade	Brobnar		1			This creature gains Taunt. Play: Fully heal this creature	"Yo' mama is so tiny..."	Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/483000647130546178/image0.jpg	0	4
